20:5:5	0.7725	0	3	0	0	0.005954	0.7665	1.1e-05	2e-06
20:5:6	0.7667	1	0	0	0	0.00944	0.7572	1.1e-05	0
143:0:1	0.7194	1	0	1	0	0.008721	0.7085	6e-06	0.002108
143:0:2	1.329	2	0	0	0	0.008359	1.31	6e-06	0.01067
143:1:1	0.899	1	1	0	0	0.005075	0.8938	0	1e-06
143:2:2	0.9724	1	1	0	0	0.004998	0.9672	2e-06	0.000105
213:0:1	0.7346	1	0	1	0	0.008727	0.6699	1.3e-05	0.056
213:1:1	0.6129	0	3	0	0	0.003418	0.6094	1.1e-05	2e-06
213:0:2	1.398	2	0	1	0	0.008188	1.348	1.2e-05	0.0422
213:1:4	0.7069	1	0	0	0	0.008744	0.6869	9e-06	0.0112
213:1:2	1.121	1	0	0	0	0.005848	1.107	1e-05	0.007427
213:1:5	0.7402	1	0	0	0	0.0075	0.7228	1.8e-05	0.009822
213:4:4	0.5057	0	2	0	0	0.005475	0.5002	8e-06	1e-06
213:4:5	1.572	1	0	1	0	0.01023	1.507	1.9e-05	0.05476
213:2:2	2.534	0	3	0	0	0.00299	2.531	1.1e-05	2e-06
213:5:5	0.5395	0	4	0	2	0.004883	0.4068	1.1e-05	0.1276
269:1:1	1.374	0	2	0	0	0.004364	1.37	0	1e-06
269:0:1	1.651	2	0	0	0	0.006186	1.631	5e-06	0.01468
269:1:2	0.7606	1	0	0	0	0.005212	0.7553	1.1e-05	0
323:0:1	0.7869	2	0	0	0	0.007945	0.7601	1.2e-05	0.01877
323:0:0	0.8875	1	3	0	0	0.002138	0.8853	1.3e-05	3e-06
327:0:1	0.7106	2	0	0	0	0.0101	0.6734	4e-06	0.02703
327:1:1	0.8506	1	2	0	0	0.005962	0.8445	0	2e-06
354:0:0	0.5345	0	2	0	2	0.00314	0.4903	5e-06	0.04098
432:0:1	0.7934	1	0	0	0	0.007555	0.7651	1.3e-05	0.02072
432:1:1	0.7129	0	3	0	0	0.002163	0.7107	7e-06	2e-06
439:0:1	0.7025	1	0	0	0	0.007669	0.6742	1.2e-05	0.02052
533:0:1	1.221	1	0	1	0	0.007092	1.167	1.3e-05	0.04708
546:0:1	0.5282	1	0	0	0	0.009218	0.4939	1.3e-05	0.02506
533:1:1	2.824	1	5	0	0	0.005982	2.807	2.2e-05	0.01047
546:1:1	0.5835	2	1	0	0	0.004411	0.5791	2e-05	2e-06
549:1:4	0.6568	2	0	0	0	0.007662	0.6246	1.4e-05	0.02448
602:0:0	1.042	1	3	1	3	0.005137	0.9279	1.5e-05	0.1086
644:2:3	0.6475	1	0	0	0	0.006574	0.6235	1.3e-05	0.0173
655:2:5	3.44	2	0	0	0	0.007562	3.415	1e-05	0.01822
655:2:2	4.147	0	3	0	0	0.004736	4.142	7e-06	2e-06
655:2:9	2.85	1	0	0	0	0.008201	2.831	8e-06	0.01028
655:2:10	2.156	1	0	0	0	0.007152	2.132	1.3e-05	0.0166
655:2:14	0.723	1	0	0	0	0.007156	0.7158	5e-06	1e-06
655:3:3	1.089	1	2	0	0	0.002266	1.087	1.2e-05	3e-06
655:3:17	0.7414	1	0	0	0	0.006415	0.719	1.5e-05	0.01596
655:2:13	4.367	1	0	0	0	0.007865	4.348	7e-06	0.01027
655:12:12	0.611	1	1	0	0	0.004489	0.6065	8e-06	1e-06
664:0:1	0.5115	1	0	0	0	0.00744	0.4848	1.1e-05	0.0192
664:1:1	0.5843	1	2	0	0	0.003997	0.5803	1.1e-05	2e-06
679:0:1	0.5085	1	0	0	0	0.005646	0.4891	1.2e-05	0.0137
679:1:1	0.9762	1	5	0	0	0.003039	0.9686	2.4e-05	0.004435
697:0:1	1.53	1	0	0	0	0.007015	1.505	6e-06	0.01726
697:1:1	1.903	1	2	0	0	0.0045	1.899	0	2e-06
710:0:0	0.5166	1	5	1	4	0.007084	0.3111	1.4e-05	0.1983
711:1:1	0.5433	0	3	0	0	0.004183	0.539	2.1e-05	2e-06
715:0:0	0.6667	1	3	1	3	0.003118	0.582	1.5e-05	0.08144
752:0:0	0.6174	1	1	1	1	0.002977	0.5738	7e-06	0.04056
775:0:3	0.6145	1	0	0	0	0.009243	0.5838	1.5e-05	0.02131
776:0:1	0.647	1	0	0	0	0.008608	0.6169	6e-06	0.02141
776:1:1	0.687	2	2	0	0	0.007881	0.679	0	1.5e-05
800:1:1	0.6306	1	1	0	0	0.006017	0.6245	1.1e-05	1e-06
800:0:1	0.8477	1	0	0	0	0.008675	0.8154	1.1e-05	0.02349
801:1:1	0.8716	1	1	0	1	0.003143	0.8674	0	0.000982
801:0:1	1.075	1	0	0	0	0.007004	1.052	7e-06	0.01613
804:0:0	0.6298	1	1	1	1	0.005576	0.55	7e-06	0.07402
807:0:1	1.971	1	0	0	0	0.007622	1.951	7e-06	0.01196
807:1:1	2.508	1	2	1	1	0.006255	2.497	2e-06	0.004608
808:0:0	0.7702	5	4	4	1	0.005717	0.5385	3.6e-05	0.2258
826:0:1	0.5732	3	0	0	0	0.007034	0.5373	1.7e-05	0.02875
